"UserID","Age","Gender","Occupation","EducationLevel","MaritalStatus","NumDependents","Income","Expenditure","GiftsTransaction","TransactionTime","TransactionAmount","MerchantID","TransactionType","TransactionLocation","DeviceType","Terrorism","UserTenure","IsFraud"
70,37,"Female","Professional","Bachelor","Widowed",3,28884.43,14610.61,2058.0196,745.95,258.14,"M006","Withdrawal","ADL","Mobile","False",113,1
3386,34,"Male","Student","High School","Married",4,54919.07,39169.49,9740.6316,1107.4,258.14,"M002","Withdrawal","CB","Mobile","False",104,1
2971,25,"Male","Unemployed","Master","Married",2,74728.57,55873.76,2253.706,1036.93333333333,258.14,"M008","Purchase","BRS","Mobile","False",105,0
2925,25,"Male","Professional","High School","Married",3,55712.62,5844.244,2058.0196,34.2833333333333,103.256,"M001","Purchase","DRW","iphone 15","False",70,1
2339,38,"Male","Professional","High School","Single",4,53004.7,15667.796,2058.0196,400.133333333333,103.256,"M001","Withdrawal","MLB","Mobile","False",27,0
234,32,"Female","Student","Bachelor","Single",1,101381.56,22349.504,9740.6316,239.95,103.256,"M003","Withdrawal","MLB","Mobile","False",35,1
1617,18,"Male","Professional","High School","Single",1,63035.98,35859.616,2253.706,900.633333333333,12.996,"M007","Purchase","SYD","Mobile","False",53,0
877,39,"Male","Professional","High School","Single",4,61284.85,14610.61,4033.718416,1168.46666666667,34.94,"M007","Payment","HB","Desktop","False",19,0
4394,39,"Male","Student","Bachelor","Single",2,28419.25,39169.49,19091.637936,111.95,323.82,"M008","Withdrawal","SYD","Mobile","True",28,1
103,21,"Male","Student","High School","Single",3,57384.51,55873.76,4417.26376,657.133333333333,323.82,"M005","Transfer","CB","Mobile","False",99,0
3288,52,"Female","Professional","Master","Single",1,40702.41,89649.04,8497.972,988.066666666667,32.49,"M008","Purchase","CB","Mobile","False",107,0
358,56,"Male","Student","Bachelor","Widowed",3,58628.6,43601.02,8497.972,1349.08333333333,32.49,"M008","Withdrawal","DRW","android","False",20,1
1732,41,"Male","Student","Bachelor","Married",2,85310.21,17440.408,4335.7,1208.08333333333,456.3,"M006","Purchase","HB","Mobile","False",80,0
